"\bbreak up",breakup,https://books.google.com/ngrams/graph?content=breakup+length%2Cbreak-up+length%2Cbreakup+distance%2Cbreak-up+distance&case_insensitive=on&year_start=1800&year_end=2008&corpus=15&smoothing=3&share=&direct_url=t4%3B%2Cbreakup%20length%3B%2Cc0%3B%2Cs0%3B%3Bbreakup%20length%3B%2Cc0%3B%3BBreakup%20Length%3B%2Cc0%3B.t1%3B%2Cbreak%20-%20up%20length%3B%2Cc0
\bbreak-up,breakup,https://books.google.com/ngrams/graph?content=breakup+length%2Cbreak-up+length%2Cbreakup+distance%2Cbreak-up+distance&case_insensitive=on&year_start=1800&year_end=2008&corpus=15&smoothing=3&share=&direct_url=t4%3B%2Cbreakup%20length%3B%2Cc0%3B%2Cs0%3B%3Bbreakup%20length%3B%2Cc0%3B%3BBreakup%20Length%3B%2Cc0%3B.t1%3B%2Cbreak%20-%20up%20length%3B%2Cc0
"\bbreak-up distance","breakup length",https://books.google.com/ngrams/graph?content=breakup+length%2Cbreak-up+length%2Cbreakup+distance%2Cbreak-up+distance&case_insensitive=on&year_start=1800&year_end=2008&corpus=15&smoothing=3&share=&direct_url=t4%3B%2Cbreakup%20length%3B%2Cc0%3B%2Cs0%3B%3Bbreakup%20length%3B%2Cc0%3B%3BBreakup%20Length%3B%2Cc0%3B.t1%3B%2Cbreak%20-%20up%20length%3B%2Cc0
"\bbreakup distance","breakup length",https://books.google.com/ngrams/graph?content=breakup+length%2Cbreak-up+length%2Cbreakup+distance%2Cbreak-up+distance&case_insensitive=on&year_start=1800&year_end=2008&corpus=15&smoothing=3&share=&direct_url=t4%3B%2Cbreakup%20length%3B%2Cc0%3B%2Cs0%3B%3Bbreakup%20length%3B%2Cc0%3B%3BBreakup%20Length%3B%2Cc0%3B.t1%3B%2Cbreak%20-%20up%20length%3B%2Cc0
"\bbreak-up distances","breakup lengths",https://books.google.com/ngrams/graph?content=breakup+length%2Cbreak-up+length%2Cbreakup+distance%2Cbreak-up+distance&case_insensitive=on&year_start=1800&year_end=2008&corpus=15&smoothing=3&share=&direct_url=t4%3B%2Cbreakup%20length%3B%2Cc0%3B%2Cs0%3B%3Bbreakup%20length%3B%2Cc0%3B%3BBreakup%20Length%3B%2Cc0%3B.t1%3B%2Cbreak%20-%20up%20length%3B%2Cc0
"\bbreakup distances","breakup lengths",https://books.google.com/ngrams/graph?content=breakup+length%2Cbreak-up+length%2Cbreakup+distance%2Cbreak-up+distance&case_insensitive=on&year_start=1800&year_end=2008&corpus=15&smoothing=3&share=&direct_url=t4%3B%2Cbreakup%20length%3B%2Cc0%3B%2Cs0%3B%3Bbreakup%20length%3B%2Cc0%3B%3BBreakup%20Length%3B%2Cc0%3B.t1%3B%2Cbreak%20-%20up%20length%3B%2Cc0
"\bbreak-up length","breakup length",https://books.google.com/ngrams/graph?content=breakup+length%2Cbreak-up+length%2Cbreakup+distance%2Cbreak-up+distance&case_insensitive=on&year_start=1800&year_end=2008&corpus=15&smoothing=3&share=&direct_url=t4%3B%2Cbreakup%20length%3B%2Cc0%3B%2Cs0%3B%3Bbreakup%20length%3B%2Cc0%3B%3BBreakup%20Length%3B%2Cc0%3B.t1%3B%2Cbreak%20-%20up%20length%3B%2Cc0
"\bbreak-up lengths","breakup lengths",https://books.google.com/ngrams/graph?content=breakup+length%2Cbreak-up+length%2Cbreakup+distance%2Cbreak-up+distance&case_insensitive=on&year_start=1800&year_end=2008&corpus=15&smoothing=3&share=&direct_url=t4%3B%2Cbreakup%20length%3B%2Cc0%3B%2Cs0%3B%3Bbreakup%20length%3B%2Cc0%3B%3BBreakup%20Length%3B%2Cc0%3B.t1%3B%2Cbreak%20-%20up%20length%3B%2Cc0
"\bbreakup up","probably ""breaking up""",
"\bcone angle","spray angle (cone angle is probably more popular (Ngram Viewer is ambiguous for it because there are many different cone angles in different fields), but spray angle is preferred as it's less ambiguous (cone angle sometimes refers to the nozzle convergence angle))",https://books.google.com/ngrams/graph?content=cone+angle%2Cspray+angle%2Ccone+half+angle%2Cspray+half+angle%2Chalf+cone+angle%2C+half+spray+angle&case_insensitive=on&year_start=1800&year_end=2008&corpus=15&smoothing=3&share=&direct_url=t4%3B%2Ccone%20angle%3B%2Cc0%3B%2Cs0%3B%3Bcone%20angle%3B%2Cc0%3B%3BCone%20Angle%3B%2Cc0%3B%3BCone%20angle%3B%2Cc0%3B%3BCONE%20ANGLE%3B%2Cc0%3B.t4%3B%2Cspray%20angle%3B%2Cc0%3B%2Cs0%3B%3Bspray%20angle%3B%2Cc0%3B%3BSpray%20angle%3B%2Cc0%3B%3BSpray%20Angle%3B%2Cc0%3B%3BSPRAY%20ANGLE%3B%2Cc0%3B.t1%3B%2Ccone%20half%20angle%3B%2Cc0%3B.t1%3B%2Chalf%20cone%20angle%3B%2Cc0
"\bconservation of energy","energy conservation (verbosity)",
"\bconservation of mass","mass conservation (verbosity)",
"\bcorner eddies","recirculation zones, or could be the ones right at the corner",
"\bcorner eddy","recirculation zone, or could be the one right at the corner",
"\bcorner vortex","recirculation zone",
"\bcorner vortices","recirculation zones",
\bdiffusor,diffuser,
"\bdivergence angle","spray angle",https://books.google.com/ngrams/graph?content=cone+angle%2Cspray+angle%2Ccone+half+angle%2Cspray+half+angle%2Chalf+cone+angle%2C+half+spray+angle&case_insensitive=on&year_start=1800&year_end=2008&corpus=15&smoothing=3&share=&direct_url=t4%3B%2Ccone%20angle%3B%2Cc0%3B%2Cs0%3B%3Bcone%20angle%3B%2Cc0%3B%3BCone%20Angle%3B%2Cc0%3B%3BCone%20angle%3B%2Cc0%3B%3BCONE%20ANGLE%3B%2Cc0%3B.t4%3B%2Cspray%20angle%3B%2Cc0%3B%2Cs0%3B%3Bspray%20angle%3B%2Cc0%3B%3BSpray%20angle%3B%2Cc0%3B%3BSpray%20Angle%3B%2Cc0%3B%3BSPRAY%20ANGLE%3B%2Cc0%3B.t1%3B%2Ccone%20half%20angle%3B%2Cc0%3B.t1%3B%2Chalf%20cone%20angle%3B%2Cc0
"\bDNS simulation","DNS or direct numerical simulation (redundant acronym)","seen in the wild at ICLASS 2018: > Keynote Lecture: Is “DNS” Simulation of Spray Atomization Ready for Primetime? - M. Soteriou"
"\bdroplet size","droplet diameter (droplet size is more popular but ambiguous)",https://books.google.com/ngrams/graph?content=droplet+size%2Cdroplet+diameter%2Cdroplet+radius%2Cdrop+size%2Cdrop+diameter%2Cdrop+radius&case_insensitive=on&year_start=1800&year_end=2000&corpus=15&smoothing=3&share=&direct_url=t4%3B%2Cdroplet%20size%3B%2Cc0%3B%2Cs0%3B%3Bdroplet%20size%3B%2Cc0%3B%3BDroplet%20size%3B%2Cc0%3B%3BDroplet%20Size%3B%2Cc0%3B.t4%3B%2Cdroplet%20diameter%3B%2Cc0%3B%2Cs0%3B%3Bdroplet%20diameter%3B%2Cc0%3B%3BDroplet%20diameter%3B%2Cc0%3B%3BDroplet%20Diameter%3B%2Cc0%3B%3BDROPLET%20DIAMETER%3B%2Cc0%3B.t4%3B%2Cdroplet%20radius%3B%2Cc0%3B%2Cs0%3B%3Bdroplet%20radius%3B%2Cc0%3B%3BDroplet%20radius%3B%2Cc0%3B%3BDroplet%20Radius%3B%2Cc0%3B%3BDROPLET%20RADIUS%3B%2Cc0%3B.t4%3B%2Cdrop%20size%3B%2Cc0%3B%2Cs0%3B%3Bdrop%20size%3B%2Cc0%3B%3BDrop%20Size%3B%2Cc0%3B%3BDrop%20size%3B%2Cc0%3B%3BDROP%20SIZE%3B%2Cc0%3B.t4%3B%2Cdrop%20diameter%3B%2Cc0%3B%2Cs0%3B%3Bdrop%20diameter%3B%2Cc0%3B%3BDrop%20diameter%3B%2Cc0%3B%3BDrop%20Diameter%3B%2Cc0%3B%3BDROP%20DIAMETER%3B%2Cc0%3B.t4%3B%2Cdrop%20radius%3B%2Cc0%3B%2Cs0%3B%3Bdrop%20radius%3B%2Cc0%3B%3BDrop%20radius%3B%2Cc0%3B%3BDROP%20RADIUS%3B%2Cc0%3B%3BDrop%20Radius%3B%2Cc0
"\bdrop size","droplet diameter",https://books.google.com/ngrams/graph?content=droplet+size%2Cdroplet+diameter%2Cdroplet+radius%2Cdrop+size%2Cdrop+diameter%2Cdrop+radius&case_insensitive=on&year_start=1800&year_end=2000&corpus=15&smoothing=3&share=&direct_url=t4%3B%2Cdroplet%20size%3B%2Cc0%3B%2Cs0%3B%3Bdroplet%20size%3B%2Cc0%3B%3BDroplet%20size%3B%2Cc0%3B%3BDroplet%20Size%3B%2Cc0%3B.t4%3B%2Cdroplet%20diameter%3B%2Cc0%3B%2Cs0%3B%3Bdroplet%20diameter%3B%2Cc0%3B%3BDroplet%20diameter%3B%2Cc0%3B%3BDroplet%20Diameter%3B%2Cc0%3B%3BDROPLET%20DIAMETER%3B%2Cc0%3B.t4%3B%2Cdroplet%20radius%3B%2Cc0%3B%2Cs0%3B%3Bdroplet%20radius%3B%2Cc0%3B%3BDroplet%20radius%3B%2Cc0%3B%3BDroplet%20Radius%3B%2Cc0%3B%3BDROPLET%20RADIUS%3B%2Cc0%3B.t4%3B%2Cdrop%20size%3B%2Cc0%3B%2Cs0%3B%3Bdrop%20size%3B%2Cc0%3B%3BDrop%20Size%3B%2Cc0%3B%3BDrop%20size%3B%2Cc0%3B%3BDROP%20SIZE%3B%2Cc0%3B.t4%3B%2Cdrop%20diameter%3B%2Cc0%3B%2Cs0%3B%3Bdrop%20diameter%3B%2Cc0%3B%3BDrop%20diameter%3B%2Cc0%3B%3BDrop%20Diameter%3B%2Cc0%3B%3BDROP%20DIAMETER%3B%2Cc0%3B.t4%3B%2Cdrop%20radius%3B%2Cc0%3B%2Cs0%3B%3Bdrop%20radius%3B%2Cc0%3B%3BDrop%20radius%3B%2Cc0%3B%3BDROP%20RADIUS%3B%2Cc0%3B%3BDrop%20Radius%3B%2Cc0
"\beffect of turbulence on","(Be more specific. Which turbulent effect? Turbulence intensity? Reynolds number?)",
"\bfirst wind induced","first wind-induced",
"\bfirst-wind induced","first wind-induced",
"\bflat fired",flat-fire,
\bflat-fired,flat-fire,
"\bflat fire",flat-fire,
"\bgrid mesh","mesh or grid (verbosity)",
"\bHinze scale","(be more specific: Hinze length/velocity/time scale)",
"\bhydro monitor",hydromonitor,
\bhydro-monitor,hydromonitor,
"\binfluence of turbulence on","(Be more specific. Which turbulent effect? Turbulence intensity? Reynolds number?)",
"\bKolmogorov scale","(be more specific: Kolmogorov length/velocity/time scale)",
"\bKolmogorov spectrum","Kolmogorov-Obukhov spectrum (historical accuracy)",https://blogs.ed.ac.uk/physics-of-turbulence/2021/06/03/why-do-we-call-it-the-kolmogorov-spectrum/
"\blarge eddy simulation","large-eddy simulation",
"\bLES simulation","LES or large-eddy simulation (redundant acronym)",
"\blevel of turbulence","turbulence intensity (be more specific)","panton_incompressible_2013 https://books.google.com/ngrams/graph?content=turbulence+intensity%2Cturbulent+intensity%2Clevel+of+turbulence%2Cturbulence+level&case_insensitive=on&year_start=1800&year_end=2000&corpus=15&smoothing=3&share=&direct_url=t4%3B%2Cturbulence%20intensity%3B%2Cc0%3B%2Cs0%3B%3Bturbulence%20intensity%3B%2Cc0%3B%3BTurbulence%20Intensity%3B%2Cc0%3B%3BTurbulence%20intensity%3B%2Cc0%3B%3BTURBULENCE%20INTENSITY%3B%2Cc0%3B.t4%3B%2Cturbulent%20intensity%3B%2Cc0%3B%2Cs0%3B%3Bturbulent%20intensity%3B%2Cc0%3B%3BTurbulent%20intensity%3B%2Cc0%3B%3BTurbulent%20Intensity%3B%2Cc0%3B.t1%3B%2Clevel%20of%20turbulence%3B%2Cc0%3B.t4%3B%2Cturbulence%20level%3B%2Cc0%3B%2Cs0%3B%3Bturbulence%20level%3B%2Cc0%3B%3BTurbulence%20Level%3B%2Cc0%3B%3BTurbulence%20level%3B%2Cc0"
"\blevels of turbulence","turbulence intensities (be more specific)","panton_incompressible_2013 https://books.google.com/ngrams/graph?content=turbulence+intensity%2Cturbulent+intensity%2Clevel+of+turbulence%2Cturbulence+level&case_insensitive=on&year_start=1800&year_end=2000&corpus=15&smoothing=3&share=&direct_url=t4%3B%2Cturbulence%20intensity%3B%2Cc0%3B%2Cs0%3B%3Bturbulence%20intensity%3B%2Cc0%3B%3BTurbulence%20Intensity%3B%2Cc0%3B%3BTurbulence%20intensity%3B%2Cc0%3B%3BTURBULENCE%20INTENSITY%3B%2Cc0%3B.t4%3B%2Cturbulent%20intensity%3B%2Cc0%3B%2Cs0%3B%3Bturbulent%20intensity%3B%2Cc0%3B%3BTurbulent%20intensity%3B%2Cc0%3B%3BTurbulent%20Intensity%3B%2Cc0%3B.t1%3B%2Clevel%20of%20turbulence%3B%2Cc0%3B.t4%3B%2Cturbulence%20level%3B%2Cc0%3B%2Cs0%3B%3Bturbulence%20level%3B%2Cc0%3B%3BTurbulence%20Level%3B%2Cc0%3B%3BTurbulence%20level%3B%2Cc0"
"\bmacro scale","integral scale",https://books.google.com/ngrams/graph?content=integral+scale%2Cturbulence+macro+scale%2Cturbulence+macroscale%2C+turbulent+macro+scale%2C+turbulent+macroscale&case_insensitive=on&year_start=1800&year_end=2000&corpus=15&smoothing=3&share=&direct_url=t4%3B%2Cintegral%20scale%3B%2Cc0%3B%2Cs0%3B%3Bintegral%20scale%3B%2Cc0%3B%3BIntegral%20scale%3B%2Cc0%3B%3BIntegral%20Scale%3B%2Cc0%3B.t1%3B%2Cturbulence%20macroscale%3B%2Cc0%3B.t1%3B%2Cturbulent%20macroscale%3B%2Cc0
\bmacroscale,"integral scale",https://books.google.com/ngrams/graph?content=integral+scale%2Cturbulence+macro+scale%2Cturbulence+macroscale%2C+turbulent+macro+scale%2C+turbulent+macroscale&case_insensitive=on&year_start=1800&year_end=2000&corpus=15&smoothing=3&share=&direct_url=t4%3B%2Cintegral%20scale%3B%2Cc0%3B%2Cs0%3B%3Bintegral%20scale%3B%2Cc0%3B%3BIntegral%20scale%3B%2Cc0%3B%3BIntegral%20Scale%3B%2Cc0%3B.t1%3B%2Cturbulence%20macroscale%3B%2Cc0%3B.t1%3B%2Cturbulent%20macroscale%3B%2Cc0
"\bmass mean diameter","volume mean diameter",https://books.google.com/ngrams/graph?content=volume+mean+diameter%2Cmass+mean+diameter&case_insensitive=on&year_start=1800&year_end=2008&corpus=15&smoothing=3&share=&direct_url=t4%3B%2Cvolume%20mean%20diameter%3B%2Cc0%3B%2Cs0%3B%3Bvolume%20mean%20diameter%3B%2Cc0%3B%3BVolume%20mean%20diameter%3B%2Cc0%3B.t4%3B%2Cmass%20mean%20diameter%3B%2Cc0%3B%2Cs0%3B%3Bmass%20mean%20diameter%3B%2Cc0%3B%3BMass%20mean%20diameter%3B%2Cc0
"\bmesh grid","mesh or grid (verbosity)",
\bnon-homogeneous,"inhomogeneous (more common)",
\bnon-linear,nonlinear,https://books.google.com/ngrams/graph?content=non-linear%2Cnonlinear&year_start=1800&year_end=2019&corpus=26&smoothing=3&direct_url=t1%3B%2Cnon%20-%20linear%3B%2Cc0%3B.t1%3B%2Cnonlinear%3B%2Cc0#t1%3B%2Cnon%20-%20linear%3B%2Cc0%3B.t1%3B%2Cnonlinear%3B%2Cc0
"\bno penetration",no-penetration,
"\bno slip",no-slip,
"\bplane averaged",plane-averaged,
"\bradial droplet velocity","droplet radial velocity",
"\brapid distortion theory","rapid-distortion theory",
\bRayleigh-Plateau,Plateau-Rayleigh,
"\bRDT theory","RDT or rapid-distortion theory (redundant acronym)",https://doi.org/10.1016/S0167-2789(99)00218-3
"\brepresentative droplet","characteristic droplet",https://books.google.com/ngrams/graph?content=droplet+size%2Cdroplet+diameter%2Cdroplet+radius%2Cdrop+size%2Cdrop+diameter%2Cdrop+radius&case_insensitive=on&year_start=1800&year_end=2000&corpus=15&smoothing=3&share=&direct_url=t4%3B%2Cdroplet%20size%3B%2Cc0%3B%2Cs0%3B%3Bdroplet%20size%3B%2Cc0%3B%3BDroplet%20size%3B%2Cc0%3B%3BDroplet%20Size%3B%2Cc0%3B.t4%3B%2Cdroplet%20diameter%3B%2Cc0%3B%2Cs0%3B%3Bdroplet%20diameter%3B%2Cc0%3B%3BDroplet%20diameter%3B%2Cc0%3B%3BDroplet%20Diameter%3B%2Cc0%3B%3BDROPLET%20DIAMETER%3B%2Cc0%3B.t4%3B%2Cdroplet%20radius%3B%2Cc0%3B%2Cs0%3B%3Bdroplet%20radius%3B%2Cc0%3B%3BDroplet%20radius%3B%2Cc0%3B%3BDroplet%20Radius%3B%2Cc0%3B%3BDROPLET%20RADIUS%3B%2Cc0%3B.t4%3B%2Cdrop%20size%3B%2Cc0%3B%2Cs0%3B%3Bdrop%20size%3B%2Cc0%3B%3BDrop%20Size%3B%2Cc0%3B%3BDrop%20size%3B%2Cc0%3B%3BDROP%20SIZE%3B%2Cc0%3B.t4%3B%2Cdrop%20diameter%3B%2Cc0%3B%2Cs0%3B%3Bdrop%20diameter%3B%2Cc0%3B%3BDrop%20diameter%3B%2Cc0%3B%3BDrop%20Diameter%3B%2Cc0%3B%3BDROP%20DIAMETER%3B%2Cc0%3B.t4%3B%2Cdrop%20radius%3B%2Cc0%3B%2Cs0%3B%3Bdrop%20radius%3B%2Cc0%3B%3BDrop%20radius%3B%2Cc0%3B%3BDROP%20RADIUS%3B%2Cc0%3B%3BDrop%20Radius%3B%2Cc0
"\bsecond wind induced","second wind-induced",
"\bsecond-wind induced","second wind-induced",
"\bseparation bubble","recirculation zone",
"\bseparation bubbles","recirculation zones",
"\bseparation zone","recirculation zone",
"\bseparation zones","recirculation zones",
"\bspreading angle","spray angle",https://books.google.com/ngrams/graph?content=cone+angle%2Cspray+angle%2Ccone+half+angle%2Cspray+half+angle%2Chalf+cone+angle%2C+half+spray+angle&case_insensitive=on&year_start=1800&year_end=2008&corpus=15&smoothing=3&share=&direct_url=t4%3B%2Ccone%20angle%3B%2Cc0%3B%2Cs0%3B%3Bcone%20angle%3B%2Cc0%3B%3BCone%20Angle%3B%2Cc0%3B%3BCone%20angle%3B%2Cc0%3B%3BCONE%20ANGLE%3B%2Cc0%3B.t4%3B%2Cspray%20angle%3B%2Cc0%3B%2Cs0%3B%3Bspray%20angle%3B%2Cc0%3B%3BSpray%20angle%3B%2Cc0%3B%3BSpray%20Angle%3B%2Cc0%3B%3BSPRAY%20ANGLE%3B%2Cc0%3B.t1%3B%2Ccone%20half%20angle%3B%2Cc0%3B.t1%3B%2Chalf%20cone%20angle%3B%2Cc0
